,Year_Cum_Ret_Overall,Tenure_Cum_Ret_Overall
Age,-0.01590121577375454,0.11438432190856479
Woman,-0.017080989882826036,-0.13413710649998964
Man,0.01708098484264792,0.13413708067958485
asian,0.08867795465530683,0.406744412587877
indian,0.06832228810593653,0.11335468307617967
black,0.04415697669020262,0.01650099053399802
white,-0.08904912017002799,-0.3627249729120702
middle eastern,-0.029556391394100635,0.09405888760358375
latino hispanic,0.048006250238145066,0.025715213693765046
angry,0.0014944144748978547,0.0868713267604174
disgust,0.04572136916089488,0.039214612125314345
fear,-0.011324486651490714,0.14184188214389598
happy,0.023255095544394176,-0.16108489572867762
sad,-0.007425134453440722,0.009935448807101906
surprise,0.013499084674609751,0.07421597443963683
neutral,-0.03421455966351229,0.04915953718736702
